area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services
116021309,1236.0,102.0,57.0,66.0,15.0,11.0
116021310,2116.0,166.0,90.0,149.0,31.0,20.0
116021312,1573.0,100.0,37.0,43.0,10.0,17.0
116021562,257.0,22.0,6.0,15.0,9.0,6.0
116021563,1246.0,79.0,42.0,54.0,16.0,17.0
116031313,424.0,24.0,15.0,19.0,5.0,3.0
116031314,600.0,34.0,20.0,10.0,9.0,3.0
116031315,921.0,42.0,26.0,33.0,7.0,9.0
116031316,435.0,36.0,13.0,17.0,8.0,4.0
116031317,1136.0,95.0,45.0,76.0,13.0,4.0
116031318,500.0,15.0,5.0,0.0,3.0,3.0
116031319,1194.0,81.0,52.0,48.0,14.0,6.0
117011320,409.0,23.0,5.0,0.0,0.0,3.0
117011321,1304.0,50.0,53.0,40.0,13.0,18.0
117011322,2580.0,166.0,124.0,81.0,31.0,22.0
117011323,911.0,62.0,45.0,54.0,17.0,18.0
117011324,135.0,5.0,3.0,0.0,3.0,0.0
117011325,9.0,0.0,0.0,0.0,0.0,0.0
117021326,3109.0,238.0,145.0,155.0,30.0,88.0
117021327,1917.0,117.0,112.0,152.0,34.0,73.0
117021328,1087.0,78.0,43.0,26.0,23.0,31.0
117031329,2260.0,150.0,197.0,252.0,43.0,84.0
117031330,3218.0,249.0,133.0,113.0,46.0,115.0
117031331,1830.0,114.0,115.0,174.0,49.0,63.0
117031332,2316.0,170.0,180.0,323.0,52.0,119.0
117031333,2874.0,139.0,224.0,162.0,40.0,109.0
117031334,3933.0,214.0,219.0,162.0,67.0,55.0
117031335,2350.0,124.0,129.0,123.0,59.0,90.0
117031336,4302.0,227.0,279.0,203.0,105.0,124.0
117031337,40285.0,1558.0,1647.0,1057.0,608.0,256.0
117031338,3597.0,294.0,219.0,154.0,31.0,71.0
118011339,2183.0,109.0,94.0,167.0,40.0,96.0
118011340,2575.0,173.0,136.0,145.0,59.0,111.0
118011341,3685.0,216.0,177.0,433.0,70.0,80.0
118011342,0.0,0.0,0.0,0.0,0.0,0.0
118011343,5016.0,271.0,164.0,540.0,61.0,93.0
118011344,1545.0,80.0,45.0,134.0,28.0,31.0
118011345,2463.0,189.0,97.0,183.0,42.0,100.0
118011346,1950.0,104.0,64.0,170.0,30.0,44.0
118011347,1384.0,88.0,34.0,152.0,22.0,36.0
118021348,2567.0,111.0,97.0,244.0,64.0,91.0
118021350,1800.0,67.0,77.0,101.0,31.0,31.0
118021564,975.0,49.0,57.0,104.0,25.0,29.0
118021565,1170.0,78.0,89.0,124.0,22.0,25.0
118021566,1165.0,53.0,27.0,130.0,11.0,19.0
118021567,945.0,52.0,42.0,79.0,15.0,26.0
118021568,882.0,41.0,64.0,69.0,18.0,14.0
118021569,1638.0,64.0,49.0,143.0,32.0,38.0
118021570,1402.0,72.0,86.0,269.0,31.0,32.0
119011354,1472.0,108.0,75.0,68.0,18.0,11.0
119011355,465.0,58.0,10.0,4.0,3.0,0.0
