area_id,num_businesses,retail_trade,accommodation_and_food_services,health_care_and_social_assistance,education_and_training,arts_and_recreation_services,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z
125041492,5067,322,294,222,67,39,0.340335139,0.31919427,-0.490226446,-0.233897846,-0.590981444
125041493,1466,89,29,84,18,11,0.174956971,-0.351294527,-0.041338634,-0.381423388,-0.611435011
125041494,810,31,29,51,17,15,-1.132078875,-0.07039718,0.147198488,0.978918456,0.553189459
125041588,1203,101,39,41,17,5,1.529150484,-0.129721544,-0.814145348,-0.091992443,-0.965326682
125041589,1282,112,86,136,17,13,1.727597,0.47804962,1.582524812,-0.228006837,-0.332626223
126011495,2598,136,89,249,69,24,-0.312110175,-0.097492306,1.241635371,1.849108594,-0.428050518
126011496,2050,74,68,261,35,25,-1.258720182,-0.116540342,2.289276541,0.367502188,-0.115381603
126021497,2624,184,153,277,49,17,0.723251356,0.324198783,1.565208907,0.617506773,-0.719781782
126021498,2114,102,76,156,36,32,-0.55083624,-0.067796371,0.507710098,0.360654291,0.195681497
126021499,1421,48,71,136,22,17,-1.39377814,0.177916096,1.237118231,0.11898049,-0.139880864
126021500,2077,120,103,94,32,15,0.004060172,0.171357614,-0.442139249,0.107231923,-0.641193269
126021501,1285,65,45,109,25,15,-0.414883423,-0.084126033,0.874890647,0.739567562,-0.170569376
126021503,1873,133,78,124,27,13,0.774927719,0.032031775,0.255077365,-0.047627586,-0.67092637
126021590,554,29,17,51,4,10,-0.312191119,-0.160107394,1.115642147,-1.171463629,0.503710373
126021591,2301,146,113,134,37,28,0.334639474,0.162912277,-0.010157243,0.212370104,-0.1181834
127011504,508,25,24,37,4,0,-0.494749667,0.130212789,0.475785346,-1.069344557,-1.404768652
127011505,1414,54,25,34,5,11,-1.136859674,-0.38813874,-1.14820834,-1.746903123,-0.582260082
127011506,1555,63,23,35,16,22,-1.001428667,-0.438798583,-1.199376041,-0.69207933,0.091086162
127011592,12,0,0,0,0,0,-3.36145701,-0.698134239,-1.948574115,-2.299213379,-1.404768652
127011593,586,30,21,31,3,3,-0.379298654,-0.069806161,-0.187721205,-1.49958877,-0.86349013
127011594,722,57,28,46,7,4,1.237345086,-0.018170704,0.172127835,-0.784873514,-0.81900833
127011595,672,25,22,25,0,5,-1.194362768,-0.124125907,-0.710263097,-2.299213379,-0.618089054
127011596,633,27,26,35,5,3,-0.876796162,0.022034768,-0.108127028,-1.065458716,-0.903679846
127011597,1021,55,19,44,9,7,-0.223521528,-0.371852591,-0.514122394,-0.922386677,-0.679883083
