area_id,area_name,land_area,population,number_of_dwellings,population_density,dwelling_density,transport_density,ZP,ZD,ZT,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z,carpods_num,busstops_num,librarybookstore_num,parksplaygrounds_num,trainstation_num
115041302,Rouse Hill - Beaumont Hills,3667.3,24977,5400,6.810732692,1.472472936,0.0,1.0859281570000001,0.424613614,-0.740649427,0.965487705,-0.071361909,-0.14057104199999998,0.456286591,-0.668489139,0.0,152.0,0.0,0.0,0.0
116011303,Blacktown (East) - Kings Park,797.5,17868,5044,22.40501567,6.32476489,0.0,0.180950081,0.265045184,-0.740649427,0.70785817,-0.010107316,0.089624947,-1.288907167,-0.5385051670000001,0.0,123.0,0.0,0.0,1.0
116011304,Blacktown (North) - Marayong,738.3,18984,4913,25.71312475,6.6544765,0.0,0.323017254,0.206327588,-0.740649427,-0.472397946,-0.111667091,-0.144153575,-0.6778292229999999,-1.038921807,0.0,115.0,0.0,0.0,1.0
116011306,Doonside - Woodcroft,991.1,24242,5920,24.45969125,5.973161134,0.0,0.9923624109999999,0.657691096,-0.740649427,0.21225423,-0.016879508999999997,-0.076673287,-0.542437567,0.10874498,0.0,101.0,0.0,0.0,1.0
116011307,Lalor Park - Kings Langley,1180.0,25825,7955,21.88559322,6.741525424,0.0,1.19387884,1.569830855,-0.740649427,-0.231743297,-0.369520935,-1.075185772,-0.998144322,-0.347911629,0.0,167.0,0.0,0.0,1.0
116011308,Seven Hills - Toongabbie,1120.3,25379,6182,22.65375346,5.518164777000001,0.0,1.1371028909999998,0.7751262879999999,-0.740649427,0.459494897,0.191552843,-0.218371631,0.50376117,-0.227085927,0.0,117.0,0.0,0.0,0.0
116011560,Blacktown (South),335.9,12939,2840,38.52039297,8.454897291,0.0,-0.446513266,-0.7228447570000001,-0.740649427,-1.105520896,-0.11611447400000001,-0.47534367899999996,-0.5709329879999999,-0.966056046,0.0,38.0,0.0,0.0,0.0
116011561,Blacktown (West),467.5,16829,4165,35.99786096,8.909090909,0.0,0.048685034,-0.128945405,-0.740649427,0.007304044,0.16797077600000002,-0.665266157,-0.7937354,-0.513072066,0.0,80.0,0.0,0.0,0.0
116021309,Glenwood,511.9,16739,4282,32.69974604,8.364915022,0.0,0.037228002999999996,-0.076502971,-0.740649427,1.4457050519999999,0.110442371,-0.17117701800000001,-0.40366313200000004,-0.46380820000000006,0.0,64.0,0.0,0.0,0.0
116021310,Parklea - Kellyville Ridge,981.3,34440,7498,35.09630083,7.640884541,0.0,2.2905712190000003,1.3649916069999999,-0.740649427,1.208367127,0.047612967,0.395274763,-0.010936653000000001,-0.405432754,0.0,66.0,0.0,0.0,0.0
116021312,Riverstone - Marsden Park,7942.1,21668,4867,2.728245678,0.612810214,0.0,0.664691351,0.18570919600000002,-0.740649427,0.341752985,-0.28571607,-1.0386634940000001,-1.306248723,-0.262107784,0.0,169.0,0.0,0.0,3.0
116021562,Acacia Gardens,94.7,3905,272,41.23548046,2.8722280889999996,0.0,-1.596544485,-1.873888935,-0.740649427,1.625052137,-0.288795435,-0.005823132,3.170592316,1.0636299,0.0,18.0,0.0,0.0,0.0
116021563,Quakers Hill,776.8,23972,2761,30.85993821,3.5543254380000002,0.0,0.957991321,-0.758254605,-0.740649427,0.33185596300000003,-0.107122595,-0.5060113470000001,-0.293520405,0.037771915,0.0,98.0,0.0,0.0,1.0
116031313,Bidwill - Hebersham - Emerton,609.5,18942,4746,31.07793273,7.786710417999999,0.0,0.31767064,0.131473858,-0.740649427,-0.064202677,-0.077850792,-0.45699344700000005,-0.45731078,-0.6566808829999999,0.0,109.0,0.0,0.0,0.0
116031314,Glendenning - Dean Park,514.3,8659,2300,16.83647676,4.472097997,0.0,-0.991358697,-0.964886757,-0.740649427,-0.060539061,-0.113689391,-1.393810779,0.043686727,-0.876119962,0.0,52.0,0.0,0.0,0.0
